2 (0.018792100449,0.024014022357) (0.018792100449,0.024014022357) 0 0
3 (0.002962505140,0.002241807457) (0.002962505140,0.002241807457) 0 0
4 (0.003332691910,0.001963563100) (0.003332691910,0.001963563100) 0 0
5 (-0.000678988209,-0.009344326549) (-0.000678988209,-0.009344326549) 0 0
6 (-0.000274599434,-0.000316049873) (-0.000274599434,-0.000316049873) 0 0
7 (-0.001521469020,0.001211410677) (-0.001521469020,0.001211410677) 0 0
8 (-0.000086321734,0.000072157677) (-0.000086321734,0.000072157677) 0 0
9 (0,0) (0,0) 0 0

